area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c07;c08a;c09;c10;c11;c12;c13;c14;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;010401;036;06;1;2;3;2;2;3;2;3;2;3;2;3;2;2;3;3;2;2712;113,107797390132;010150010401;01015001040103606;010150010401036061;202306
1;10150;010401;036;07;1;3;2;2;3;3;3;3;2;2;3;3;3;3;3;3;3;2712;113,107797390132;010150010401;01015001040103607;010150010401036071;202306
1;10150;011902;035;01;1;2;2;1;2;1;1;1;1;1;1;1;1;3;3;3;3;2711;67,3052781013146;010150011902;01015001190203501;010150011902035011;202306
1;10150;011902;035;02;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;67,3052781013146;010150011902;01015001190203502;010150011902035021;202306
1;10150;011902;035;03;1;2;2;1;3;2;2;2;2;2;2;2;2;3;3;3;3;2711;67,3052781013146;010150011902;01015001190203503;010150011902035031;202306
1;10150;011902;035;04;1;3;2;1;2;1;1;2;2;2;2;2;2;2;2;3;3;2711;67,3052781013146;010150011902;01015001190203504;010150011902035041;202306
1;10150;011902;035;05;1;2;2;1;1;1;1;1;1;1;1;3;3;3;3;3;3;2711;67,3052781013146;010150011902;01015001190203505;010150011902035051;202306
1;10150;011902;035;06;1;3;3;3;3;1;1;1;2;2;2;2;2;3;3;3;3;2711;67,3052781013146;010150011902;01015001190203506;010150011902035061;202306
1;10150;011902;035;07;1;2;2;1;1;1;1;1;1;1;1;1;2;3;3;3;3;2711;67,3052781013146;010150011902;01015001190203507;010150011902035071;202306
1;10150;012601;042;01;1;3;3;1;1;2;3;2;2;2;2;2;2;3;3;3;3;2711;262,134334494885;010150012601;01015001260104201;010150012601042011;202306
1;10150;012601;042;02;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;3;3;2711;262,134334494885;010150012601;01015001260104202;010150012601042021;202306
1;10150;012601;042;03;1;2;2;1;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;262,134334494885;010150012601;01015001260104203;010150012601042031;202306
1;10150;012601;042;04;1;2;2;1;1;2;2;2;2;2;2;2;2;3;3;3;3;2711;262,134334494885;010150012601;01015001260104204;010150012601042041;202306
1;10150;012601;042;05;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;262,134334494885;010150012601;01015001260104205;010150012601042051;202306
1;10150;012601;042;06;1;2;2;1;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;262,134334494885;010150012601;01015001260104206;010150012601042061;202306
1;10150;012601;042;07;1;1;1;1;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;262,134334494885;010150012601;01015001260104207;010150012601042071;202306
1;10150;013701;042;01;1;3;3;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;61,2781751780858;010150013701;01015001370104201;010150013701042011;202306
1;10150;013701;042;02;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;61,2781751780858;010150013701;01015001370104202;010150013701042021;202306
1;10150;013701;042;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2712;61,2781751780858;010150013701;01015001370104203;010150013701042031;202306
1;10150;013701;042;04;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;61,2781751780858;010150013701;01015001370104204;010150013701042041;202306
1;10150;013701;042;05;1;3;3;1;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;61,2781751780858;010150013701;01015001370104205;010150013701042051;202306
1;10150;013701;042;06;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2712;61,2781751780858;010150013701;01015001370104206;010150013701042061;202306
1;10150;013701;042;07;1;2;2;1;1;2;2;2;2;2;2;2;2;3;3;3;3;2712;61,2781751780858;010150013701;01015001370104207;010150013701042071;202306
1;10150;014104;042;01;1;2;3;1;3;2;3;2;3;2;3;2;3;2;2;3;3;2711;80,3417372039094;010150014104;01015001410404201;010150014104042011;202306
1;10150;014104;042;02;1;2;3;2;2;3;2;3;2;3;2;3;2;2;3;3;3;2711;80,3417372039094;010150014104;01015001410404202;010150014104042021;202306
1;10150;014104;042;03;1;3;2;3;2;2;3;3;2;3;2;3;2;3;2;2;3;2711;80,3417372039094;010150014104;01015001410404203;010150014104042031;202306
1;10150;014104;042;04;1;2;3;2;3;2;3;2;3;2;3;2;3;2;3;3;3;2711;80,3417372039094;010150014104;01015001410404204;010150014104042041;202306
1;10150;014104;042;05;1;2;3;2;3;2;3;2;3;2;2;3;3;2;3;3;3;2711;80,3417372039094;010150014104;01015001410404205;010150014104042051;202306
1;10150;014104;042;06;1;2;3;1;3;3;2;3;3;2;3;2;3;2;2;3;3;2711;80,3417372039094;010150014104;01015001410404206;010150014104042061;202306
1;10150;014104;042;07;1;2;3;1;2;3;3;3;2;3;2;3;2;2;3;2;3;2711;80,3417372039094;010150014104;01015001410404207;010150014104042071;202306
1;10150;014201;035;01;1;2;3;1;2;3;2;3;2;3;2;3;1;3;2;3;3;2711;250,800486720081;010150014201;01015001420103501;010150014201035011;202306
1;10150;014201;035;02;1;2;3;1;3;3;3;2;3;2;3;2;3;1;3;3;3;2711;250,800486720081;010150014201;01015001420103502;010150014201035021;202306
1;10150;014201;035;03;1;2;2;3;3;2;3;3;2;3;2;3;2;2;2;3;3;2711;250,800486720081;010150014201;01015001420103503;010150014201035031;202306
1;10150;014201;035;04;1;2;3;1;3;2;3;2;3;3;3;2;3;3;3;3;3;2711;250,800486720081;010150014201;01015001420103504;010150014201035041;202306
1;10150;014201;035;05;1;2;3;1;2;2;2;2;2;2;3;2;3;2;2;3;3;2711;250,800486720081;010150014201;01015001420103505;010150014201035051;202306
1;10150;014201;035;07;1;3;2;2;3;3;3;3;3;3;3;3;3;3;2;2;3;2711;250,800486720081;010150014201;01015001420103507;010150014201035071;202306
1;10150;014201;035;08;1;2;3;1;3;3;2;3;2;3;3;2;2;3;3;2;3;2711;250,800486720081;010150014201;01015001420103508;010150014201035081;202306
1;10150;015401;049;02;1;3;3;1;1;2;2;2;2;2;2;2;2;3;3;2;2;2713;68,3205488480178;010150015401;01015001540104902;010150015401049021;202306
1;10150;015401;049;04;1;2;2;1;1;2;2;2;2;2;2;2;2;3;3;2;3;2713;68,3205488480178;010150015401;01015001540104904;010150015401049041;202306
1;10150;015401;049;06;1;2;2;1;1;2;2;2;2;2;2;2;2;3;3;3;3;2713;68,3205488480178;010150015401;01015001540104906;010150015401049061;202306
1;10150;015401;049;09;1;2;2;3;2;2;2;2;2;2;2;2;2;3;3;2;2;2713;68,3205488480178;010150015401;01015001540104909;010150015401049091;202306
1;10150;015401;049;10;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2713;68,3205488480178;010150015401;01015001540104910;010150015401049101;202306
1;10150;016102;036;01;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2711;65,4854894680576;010150016102;01015001610203601;010150016102036011;202306
1;10150;016102;036;02;1;3;3;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;65,4854894680576;010150016102;01015001610203602;010150016102036021;202306
1;10150;016102;036;03;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;65,4854894680576;010150016102;01015001610203603;010150016102036031;202306
